master_id,who,Cohort,Cohort_Var_Name,full participant question,Cohort_Var_Description,Consensus Category,Test Categories
405,BJD,AMPLE,Night_duration_months,NA,duration of nightmares in months,['Dreams'],['No Specific Test']
411,BJD,AMPLE,QSSLBD_Nightmare,NA,troubled by nightmares,"['Sleep Difficulty', 'Dreams']",['No Specific Test']
438,BJD,AMPLE,Hypnotic_Dose_Comm,NA,hypnotic dose/comments,['Sleep Medications and Aids'],['No Specific Test']
552,BJD,AMPLE,Vivid_Comm,NA,vivid dreams comments,['Dreams'],['No Specific Test']
637,BJD,AMPLE,DCFS_Sleep,NA,dcfs how much of the day does the patient sleep,['Daytime Sleepiness'],['No Specific Test']
113,BJD,AMPLE,SD_Cried_Out,NA,sleep disorders - cried out during sleep,['Sleep Disorders'],['No Specific Test']
162,BJD,AMPLE,QSSLBD_Sleep,NA,cried out during sleep?,['Sleep Disorders'],['No Specific Test']
206,BJD,AMPLE,npisleep,NA,npi sleep,['Sleep Quality'],['NPI']
208,BJD,AMPLE,SD_RLS,NA,sleep disorders - restless legs syndrome,['Sleep Disorders'],['No Specific Test']
211,BJD,AMPLE,SD_Acting_Dream,NA,sleep disorders - acting out dreams,"['Dreams', 'Sleep Disorders']",['No Specific Test']
266,BJD,AMPLE,Cried_Out_duration,NA,duration of cried out during sleep in months,['Sleep Disorders'],['No Specific Test']
358,BJD,AMPLE,npisleepfreq,NA,npi frequency of sleep,['Sleep Quality'],['NPI']
400,BJD,AMPLE,SD_Vivid_Dream,NA,sleep disorders - troubled by vivid dreams,"['Sleep Difficulty', 'Dreams', 'Sleep Disorders']",['No Specific Test']
404,BJD,AMPLE,npisleepdis,NA,npi distress sleep,['Mental Health and Sleep'],['NPI']
417,BJD,AMPLE,Inc_Sleep_Comm,NA,duration of increased sleepiness in months,['Daytime Sleepiness'],['No Specific Test']
428,BJD,AMPLE,npisleepsev,NA,npi severity of sleep,['Sleep Difficulty'],['NPI']
495,BJD,AMPLE,SD_TLOC,NA,sleep disorders - transient loss of consciousness,['Sleep Disorders'],['No Specific Test']
543,BJD,AMPLE,Acting_Ever,NA,acting out dreams ever,['Dreams'],['No Specific Test']
586,BJD,AMPLE,Vivid_Ever,NA,vivid dreams ever,['Dreams'],['No Specific Test']
596,BJD,AMPLE,RTNM_Inc_Sleep,NA,reactions to new medications - increased sleepiness,['Sleep Medications and Aids'],['No Specific Test']
623,BJD,AMPLE,Acting_Comm,NA,acting out dreams comments,['Dreams'],['No Specific Test']
624,BJD,AMPLE,Acting_duration,NA,duration of acting out dreams in months,['Dreams'],['No Specific Test']
628,BJD,AMPLE,Vivid_duration_months,NA,duration of vivid dreams in months,['Dreams'],['No Specific Test']
421,BJD,BRACE,A024Sleep problems,NA,"a024 sleep problems - 1=absent, 2=present,",['Sleep Difficulty'],['No Specific Test']
80,BJD,CamCAN,SP12,NA,"during the past month, how often have you had trouble sleeping because you:- had bad dreams","['Sleep Difficulty', 'Dreams']",['No Specific Test']
88,BJD,CamCAN,SP8,NA,"during the past month, how often have you had trouble sleeping because you:- cannot breathe comfortably","['Sleep Difficulty', 'Sleep Environment']",['No Specific Test']
106,BJD,CamCAN,SP5,NA,"during the past month, how often have you had trouble sleeping because you:- cannot get to sleep within 30 minutes","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
107,BJD,CamCAN,SP9,NA,"during the past month, how often have you had trouble sleeping because you:- cough or snore loudly",['Sleep Difficulty'],['No Specific Test']
108,BJD,CamCAN,SP6,NA,"during the past month, how often have you had trouble sleeping because you:- wake up in the middle of the night or early morning","['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
169,BJD,CamCAN,SP13,NA,"during the past month, how often have you had trouble sleeping because you:- have pain","['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
174,BJD,CamCAN,SP7,NA,"during the past month, how often have you had trouble sleeping because you:- have to get up to use the bathroom",['Sleep Difficulty'],['No Specific Test']
250,BJD,CamCAN,SP10,NA,"during the past month, how often have you had trouble sleeping because you:- feel too cold","['Sleep Difficulty', 'Sleep Environment']",['No Specific Test']
252,BJD,CamCAN,SP11,NA,"during the past month, how often have you had trouble sleeping because you:- feel too hot","['Sleep Difficulty', 'Sleep Environment']",['No Specific Test']
255,BJD,CamCAN,SP14,NA,"during the past month, how often have you had trouble sleeping because you:- any other reasons, and if so how often?",['Sleep Difficulty'],['No Specific Test']
300,BJD,CamCAN,SP16,NA,during the past month how would you rate your sleep quality overall?,['Sleep Quality'],['No Specific Test']
361,BJD,CamCAN,SP4,NA,"during the past month, how many hours of actual sleep did you get at night? (this may be different than the number of hours you spend in bed)",['Sleep Duration'],['No Specific Test']
431,BJD,CamCAN,SP17,NA,"during the past month, how often have you taken medicine (prescribed or over the counter) to help you sleep?",['Sleep Medications and Aids'],['No Specific Test']
444,BJD,CamCAN,EPAQ_001,,average daily sleep time (hours) during the week,['Sleep Duration'],['No Specific Test']
455,BJD,CamCAN,SP18,NA,"during the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",['Daytime Sleepiness'],['No Specific Test']
504,BJD,CamCAN,SP2,NA,"during the past month, how long (in minutes) has it usually taken you to fall asleep each night?",['Sleep Latency and Waking'],['No Specific Test']
529,BJD,CamCAN,EPAQ_002,,average daily sleep time (hours) during the weekend,['Sleep Duration'],['No Specific Test']
630,BJD,CamCAN,EPAQ_035,NA,"time spent sedentary, excluding sleep [hrs/d]",['Uncategorized'],['No Specific Test']
660,BJD,CamPaIGN,Epworth Sleepiness Scale (X),How likely are you to doze off or fall asleep in the following situations?,epworth sleepiness scale score at visit x,['Daytime Sleepiness'],['Epworth Sleepiness Scale']
65,BJD,CaPS,T0552 C5 CA Investigations IQcode IR,NA,[c5 ca personality] sleep pattern disturbance ,['Sleep Difficulty'],['No Specific Test']
165,BJD,CaPS,c3sleeptablets,NA,[c3 sleep disturbance q16] do you take sleeping tables? ,"['Sleep Difficulty', 'Sleep Medications and Aids']",['No Specific Test']
259,BJD,CaPS,c3backtosleepdifficulty,NA,[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
304,BJD,CaPS,c3notfeelrested,NA,"[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ","['Sleep Quality', 'Daytime Sleepiness']",['No Specific Test']
356,BJD,CaPS,c1troublesleeping,NA,[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
408,BJD,CaPS,c3bothersometwitches,NA,[c3 sleep disturbance q11e] restless legs or borthersome twiches? ,"['Sleep Difficulty', 'Sleep Disorders']",['No Specific Test']
434,BJD,CaPS,c3restlessdisturbednights,NA,[c3 general health q3] have you recently been having restless disturbed nights? ,['Sleep Difficulty'],['No Specific Test']
497,BJD,CaPS,c2homesleephours,NA,[c2 home & work environment q21] how many months a year do you sleep with your bedroom window open? ,['Sleep Environment'],['No Specific Test']
499,BJD,CaPS,c2wakeupduenoise,NA,[c2 home & work environment q29] does traffic noise wake you up? ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
526,BJD,CaPS,c3tasksatisfaction,NA,[c3 general health q8] have you recently been satisfied with the way youve carried out your task? ,['Uncategorized'],['No Specific Test']
536,BJD,CaPS,c2sleepdifficult,NA,[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
110,BJD,CaPS,c3todaydoyoufeel,NA,"[c3 sleep disturbance q1] today, do you feel? ",['Uncategorized'],['No Specific Test']
158,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,NA,[c3 sleep disturbance] the card number in this case 9,['Uncategorized'],['No Specific Test']
256,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,NA,[c3 sleep disturbance] the file number as recorded on card 9,['Uncategorized'],['No Specific Test']
261,BJD,CaPS,c3snoring,NA,[c3 sleep disturbance q2] have you ever been told you snore? ,['Sleep Disorders'],['No Specific Test']
296,BJD,CaPS,c3gettosleepdifficuly,NA,[c3 sleep disturbance q11a] difficulty in getting to sleep? ,"['Sleep Difficulty',  'Sleep Latency and Waking']",['No Specific Test']
347,BJD,CaPS,c3loudnesssnoring,NA,[c3 sleep disturbance q4] how loud have others said your snoring is? ,"['Sleep Difficulty', 'Sleep Environment']",['No Specific Test']
349,BJD,CaPS,c3sleepinessduringday,NA,[c3 sleep disturbance q11f] feelings of excessive sleepiness during the day? ,['Daytime Sleepiness'],['No Specific Test']
351,BJD,CaPS,c3hrsworkdaysleep,[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?,[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?,['Sleep Duration'],['No Specific Test']
362,BJD,CaPS,c3freqnapduringtheday,NA,[c3 sleep disturbance q14] how often do you take a nap during the day or early evening? ,['Daytime Sleepiness'],['No Specific Test']
392,BJD,CaPS,c3wakerepeatedly,NA,[c3 sleep disturbance q11c] wake up repeatly during the night? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
394,BJD,CaPS,c3hrsweekendsleep,[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?,[c3 sleep disturbance q13b] how many hours of sleep do you usually get in a weekend or non-work night?,['Sleep Duration'],['No Specific Test']
398,BJD,CaPS,c3kickduringsleep,NA,[c3 sleep disturbance q10] do you kick or make other disruptive movements during sleep? ,['Sleep Disorders'],['No Specific Test']
401,BJD,CaPS,c3freqsnoring,NA,"[c3 sleep disturbance q3] according to others, please estimate how often you snore? ",['Sleep Disorders'],['No Specific Test']
436,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,NA,[c3 sleep disturbance] the unique number allocated to each subject in the study as recorded on card 9,['Uncategorized'],['No Specific Test']
439,BJD,CaPS,c3sleepbreathupnormally,NA,[c3 sleep disturbance q9] how often do you seem to have momentary periods in your sleep when you breath abnormally? ,['Sleep Disorders'],['No Specific Test']
442,BJD,CaPS,c3gaspduringsleep,NA,"[c3 sleep disturbance q7] according to others how often do you gasp, choke or make snorting sounds during sleep? ",['Sleep Disorders'],['No Specific Test']
451,BJD,CaPS,c3timefallasleep,NA,[c3 sleep disturbance q12] approximately how many minutes does it usually take you to fall asleep at night?,['Sleep Latency and Waking'],['No Specific Test']
458,BJD,CaPS,c1sleeping,NA,[c1 clinic interview q23c2g] personality: are you: do you have great difficulty in falling or staying asleep? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
460,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,NA,[c3 sleep disturbance] date of birth of the subject in format dd/mm/yyyy from card 9,['Uncategorized'],['No Specific Test']
489,BJD,CaPS,c3yrssnoring,NA,"[c3 sleep disturbance q5] based on what others have told you, for about how many years do you think you have snored?",['Sleep Disorders'],['No Specific Test']
492,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,NA,[c3 sleep disturbance] original text version of date of birth of the subject in format ddmmyy from card 9,['Uncategorized'],['No Specific Test']
501,BJD,CaPS,c3nasalcongestion,NA,"[c3 sleep disturbance q11g] nasal congestion, obstruction, or discharge at night? ",['Physical Health and Sleep'],['No Specific Test']
506,BJD,CaPS,c3allergiescausingnasalcongestio,NA,[c3 sleep disturbance q15] do you have any allergies like hay fever that cause congestion? ,['Physical Health and Sleep'],['No Specific Test']
509,BJD,CaPS,c3stimulantstostayawake,NA,[c3 sleep disturbance q11i] need for coffee or other stimulants to stay awake during the day? ,['Daytime Sleepiness'],['No Specific Test']
514,BJD,CaPS,c5q45kicking,NA,[c5 self completion quest q45] how often do you kick or make other disruptive movements during sleep? ,['Sleep Disorders'],['No Specific Test']
519,BJD,CaPS,c3dozemomentarily,NA,"[c3 sleep disturbance q11h] fall asleep or doze momentarily: watching tv, reading, in meetings etc? ",['Daytime Sleepiness'],['No Specific Test']
522,BJD,CaPS,c3awarenesssnoring,NA,[c3 sleep disturbance q6] how often(if ever) have you had the feeling or awareness that you have been snoring? ,['Sleep Disorders'],['No Specific Test']
545,BJD,CaPS,c3wakegasping,NA,[c3 sleep disturbance q8] how often have you wakened suddenly with the feeling of gasping or choking? ,"['Sleep Disorders', 'Sleep Latency and Waking']",['No Specific Test']
556,BJD,CaPS,c5q47hoursofsleep,[c5 self completion quest q47] how many hours of sleep do you usually get each night?,[c5 self completion quest q47] how many hours of sleep do you usually get each night?,['Sleep Duration'],['No Specific Test']
590,BJD,CaPS,c2easilyawakened,NA,[c2 psychosocial quest noise q2] i am easily awakened by noise ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
593,BJD,CaPS,c5q42gaspingorchoking,NA,[c5 self completion quest q42] how often do you gasp or choke during sleep? ,['Sleep Disorders'],['No Specific Test']
598,BJD,CaPS,c5q39loudnessofsnoring,NA,[c5 self completion quest q39] how loud is your snoring? ,['Sleep Disorders'],['No Specific Test']
612,BJD,CaPS,c3depressed,NA,[c3 general health q22] have you recently been feeling unhappy and depressed? ,['Uncategorized'],['No Specific Test']
614,BJD,CaPS,c5q50sleepingtablets,NA,[c5 self completion quest q50] do you take sleeping tablets? ,['Sleep Medications and Aids'],['No Specific Test']
617,BJD,CaPS,c2angrywithnoisypeople,NA,[c2 psychosocial quest noise q9] i get angry with people who make noise that keeps me awake or doing work ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
619,BJD,CaPS,c5q44stopbreathing,NA,[c5 self completion quest q44] how often do you have momentary periods during sleep when you stop breathing or breath abnormally? ,['Sleep Disorders'],['No Specific Test']
639,BJD,CaPS,c2lostmuchsleep,NA,[c2 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
641,BJD,CaPS,c3lostmuchsleep,NA,[c3 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
643,BJD,CaPS,c4lostmuchsleep,NA,[c4 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
645,BJD,CaPS,c5lostmuchsleep,NA,[c5 general health q2] have you recently lost much sleep over worry? ,['Mental Health and Sleep'],['No Specific Test']
647,BJD,CaPS,c5q51fsittingtalking,NA,[c5 self completion quest q51f] how likely are you to fall asleep sitting talking to someone? ,"['Sleep Latency and Waking', 'Daytime Sleepiness']",['No Specific Test']
651,BJD,CaPS,c5q46minutestosleep,NA,[c5 self completion quest q46] approximately how many minutes does it usually take you to fall asleep?,['Sleep Latency and Waking'],['No Specific Test']
655,BJD,CaPS,c5q41awarenessofsnoring,NA,[c5 self completion quest q41] how often have you had the feeling of awareness that you have been snoring? ,['Sleep Disorders'],['No Specific Test']
663,BJD,CaPS,c5q51gafterlunch,NA,[c5 self completion quest q51g] how likely are you to fall asleep sitting quietly after lunch without alcohol? ,['Daytime Sleepiness'],['No Specific Test']
665,BJD,CaPS,c3wakeuptrafficnoise,NA,[c3 lifestyle quest q11c] does traffic noise ever wake you up? ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
673,BJD,CaPS,c3outdoors,NA,[c3 general health q5] have you recently been getting out of the house as much as usual? ,['Uncategorized'],['No Specific Test']
675,BJD,CaPS,c5q51bwatchingtv,NA,[c5 self completion quest q51b] how likely are you to fall asleep watching tv? ,['Daytime Sleepiness'],['No Specific Test']
678,BJD,CaPS,c5q51asittingandreading,NA,[c5 self completion quest q51a] how likely are you to fall asleep sitting and reading? ,['Daytime Sleepiness'],['No Specific Test']
680,BJD,CaPS,c5q51dpassengerinacar,NA,[c5 self completion quest q51d] how likely are you to fall asleep as a passenger in a car? ,"['Daytime Sleepiness', 'Sleep Environment']",['No Specific Test']
713,BJD,CaPS,c5q51ctheatreormeeting,NA,[c5 self completion quest q51c] how likely are you to fall asleep in a theatre or meeting? ,"['Daytime Sleepiness', 'Sleep Environment']",['No Specific Test']
717,BJD,CaPS,c5q51htrafficlights,NA,[c5 self completion quest q51h] how likely are you to fall asleep in a car stopped at traffic lights? ,"['Daytime Sleepiness', 'Sleep Environment']",['No Specific Test']
719,BJD,CaPS,c5q51elyingdown,NA,[c5 self completion quest q51e] how likely are you to fall asleep lying down to rest in the afternoon? ,['Daytime Sleepiness'],['No Specific Test']
721,BJD,CaPS,c5q43wokengaspingorchoking,NA,[c5 self completion quest q43] how often have you wakened suddenly with the feeling of gasping  or choking? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
734,BJD,CaPS,c3abletoconcentrate,NA,[c3 general health q1] have you recently been able to concentrate on whatever youre doing? ,['Uncategorized'],['No Specific Test']
736,BJD,CaPS,c5q48nap,NA,[c5 self completion quest q48] how often do you take a nap during the day or early evening? ,['Daytime Sleepiness'],['No Specific Test']
2,BJD,CFAS,v64_h2,Does s/he have difficulty in getting to sleep?,s. has difficulty in sleeping?,['Sleep Difficulty'],['No Specific Test']
6,BJD,CFAS,v84_a0,Trouble sleeping recently?,trouble sleeping?,['Sleep Difficulty'],['No Specific Test']
12,BJD,CFAS,v113_c12,Have you had any trouble sleeping recently?,any trouble sleeping?,['Sleep Difficulty'],['No Specific Test']
23,BJD,CFAS,v103_h2,Is that a problem now? (If YES: How bad is it?),difficulty with sleeping now?,['Sleep Difficulty'],['No Specific Test']
29,BJD,CFAS,v102_h2,Did s/he have difficulty sleeping at the start? (If YES: How bad was that),onset. difficulty sleeping?,['Sleep Difficulty'],['No Specific Test']
37,BJD,CFAS,v231_h2,Does s/he take alcohol to get to sleep?,take alcohol to sleep?,"['Sleep Medications and Aids', 'Alcohol Related']",['No Specific Test']
66,BJD,CFAS,v64_h6,Does s/he have difficulty in getting to sleep?,s has difficulty getting to sleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
90,BJD,CFAS,v89_a0,Sleep interrupted,sleep interrupted?,['Sleep Difficulty'],['No Specific Test']
103,BJD,CFAS,v118_s0,Do you have problems staying asleep or falling asleep?,type of sleep problem?,['Sleep Difficulty'],['No Specific Test']
122,BJD,CFAS,v66_h6,"Does s/he wake early in the morning, before his/her normal time, and not get back to sleep again?",s restless at night?,['Sleep Difficulty'],['No Specific Test']
140,BJD,CFAS,v102_h6,Did s/he have difficulty sleeping at the start? (If YES: How bad was that),s difficulty sleeping at beginning?,['Sleep Difficulty'],['No Specific Test']
170,BJD,CFAS,v87_a0,Rate - insomnia,o-rate insomnia,['Sleep Disorders'],['No Specific Test']
172,BJD,CFAS,v117_s0,Do you ever have any problems sleeping? (PROMPT: How often?),problems sleeping?,['Sleep Difficulty'],['No Specific Test']
175,BJD,CFAS,v103_h6,Is that a problem now? (If YES: How bad is it?),sleeping a problem now?,['Sleep Difficulty'],['No Specific Test']
193,BJD,CFAS,v116_c12,RATE HAS INSOMNIA MOST OF THE NIGHT AND SLEEPS MAINLY DURING THE DAY (If not established ASK When do you get any sleep?),rating: has insomnia,['Sleep Disorders'],['No Specific Test']
217,BJD,CFAS,v88_a0,Difficulty falling asleep,difficulty falling asleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
251,BJD,CFAS,v118_s2,Do you have problems staying asleep or falling asleep?,type of sleeping problem,['Sleep Difficulty'],['No Specific Test']
270,BJD,CFAS,v361_c12,Interviewee repeatedly falls asleep and has to be awakened.,obs - falls asleep,['Uncategorized'],['No Specific Test']
328,BJD,CFAS,v300_a0,Rate-Respondent fell asleep,o-respondent fell asleep,['Uncategorized'],['No Specific Test']
505,BJD,CFAS,v117_s2,Do you ever have any problems sleeping? (PROMPT: How often?),developed any sleeping problems?,['Sleep Difficulty'],['No Specific Test']
532,BJD,CFAS,v65_h2,Is s/he restless or wakeful during the night?,s. restless/wakeful at night?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
553,BJD,CFAS,v85_a0,Anything taken to help sleep?,taken anything to help sleep?,['Sleep Medications and Aids'],['No Specific Test']
562,BJD,CFAS,v114_c12,Have you taken anything to help you sleep? Does it help?,taken anything to help you sleep?,['Sleep Medications and Aids'],['No Specific Test']
682,BJD,CFAS,v92_a0,What disturbs sleep,what wakes you up?,['Sleep Latency and Waking'],['No Specific Test']
85,BJD,CFAS,v269_a0,Rate-restless,o-restless,['Sleep Difficulty'],['No Specific Test']
167,BJD,CFAS,v119_s0,At what age did your sleep become a problem?,age at onset of sleep problem?,['Uncategorized'],['No Specific Test']
248,BJD,CFAS,v120a_s0,NA,rate: who answered sleep section?,['Uncategorized'],['No Specific Test']
257,BJD,CFAS,v86_a0,How long troubled sleep,how long troubled sleep?,['Sleep Difficulty'],['No Specific Test']
373,BJD,CFAS,v65_h6,Is s/he restless or wakeful during the night?,s wake early in morning?,['Sleep Latency and Waking'],['No Specific Test']
369,BJD,CFAS,v66_h2,"Does s/he wake early in the morning, before his/her normal time, and not get back to sleep again?",s. wake early in morning?,['Sleep Latency and Waking'],['No Specific Test']
426,BJD,CFAS,v120a_s2,NA,who answered memory/sleep section?,['Uncategorized'],['No Specific Test']
463,BJD,CFAS,v362_c12,"Interviewee appears generally sleep, but does not actually fall asleep.",obs - generally sleepy,['Uncategorized'],['No Specific Test']
584,BJD,CFAS,v90_a0,Wakes up early,wake up early?,['Sleep Latency and Waking'],['No Specific Test']
600,BJD,CFAS,v167_c12,Was it when you were wide awake?,when you are wide awake?,['Uncategorized'],['No Specific Test']
669,BJD,CFAS,v157_a0,Visions when wide awake,vision when you are wide awake?,['Uncategorized'],['No Specific Test']
723,BJD,CFAS,v120_c12,"RATE AWAKENS EARLY BY 2 HOURS OR MORE & CANNOT GET BACK TO SLEEP, MOST NIGHTS FOR AT LEAST TWO WEEKS IN THE LAST MONTH.",rating: wakes early by 2 hrs,"['Sleep Duration', 'Sleep Latency and Waking']",['No Specific Test']
34,BJD,CFASII,v88_h1,Does s/he have difficulty in getting to sleep?,difficulty in getting to sleep,['Sleep Difficulty'],['No Specific Test']
48,BJD,CFASII,v310_h1,Does s/he take alcohol to get to sleep?,take alcohol to sleep?,['Alcohol Related'],['No Specific Test']
83,BJD,CFASII,v201_w1,Have you had any trouble sleeping recently?,have you had any trouble sleeping recently?,['Sleep Difficulty'],['No Specific Test']
129,BJD,CFASII,v89_h1,Is s/he restless or wakeful during the night?,s restless at night?,['Sleep Difficulty'],['No Specific Test']
147,BJD,CFASII,v132_h1,Did s/he have difficulty sleeping at the start? (If YES: How bad was that?),s difficulty sleeping at beginning?,['Sleep Difficulty'],['No Specific Test']
182,BJD,CFASII,v133_h1,Is that a problem now? (If YES: How bad is it?),sleeping a problem now?,['Sleep Difficulty'],['No Specific Test']
212,BJD,CFASII,v206_w1,Is your sleep interrupted during the night?,sleep interrupted during the night?,['Sleep Difficulty'],['No Specific Test']
230,BJD,CFASII,v205_w1,Have you had difficulty falling asleep (getting off to sleep)? Do you lie awake for long periods of time (waiting for sleep)?,difficulty falling asleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
281,BJD,CFASII,v638_w1,NA,obs - falls asleep,['Uncategorized'],['No Specific Test']
330,BJD,CFASII,v208_w1,Have you recently been waking up early in the morning and found it impossible to get back to sleep? What time would that be? Is that your usual time? How often has it happened?,waking up early in the morning,['Sleep Latency and Waking'],['No Specific Test']
695,BJD,CFASII,v210_w1,"What wakes you up? (What is the difficulty?) Is it a physical problem like having to pass (water) urine, or pain? Does noise bother you?",what wakes you up?,['Sleep Latency and Waking'],['No Specific Test']
380,BJD,CFASII,v90_h1,"Does s/he wake early in the morning, before his/her normal time, and not get back to sleep again?",s wake early in morning?,['Sleep Latency and Waking'],['No Specific Test']
429,BJD,CFASII,v207_w1,RATE SLEEP INTERRUPTED DURING THE NIGHT MOST NIGHTS FOR AT LEAST TWO WEEKS IN THE LAST MONTH.,rate sleep interrupted during the night most nights for at least two weeks,['Sleep Difficulty'],['No Specific Test']
447,BJD,CFASII,v204_w1,RATE HAS INSOMNIA MOST OF THE NIGHT AND SLEEPS MAINLY DURING THE DAY (If not established ASK When do you get any sleep?),insomnia most of the night and sleeps mainly during the day,['Sleep Disorders'],['No Specific Test']
461,BJD,CFASII,v215_w1,Proxy answered eating habits and sleep section.,proxy answered eating habits and sleep sections?,['Uncategorized'],['No Specific Test']
474,BJD,CFASII,v639_w1,NA,obs - generally sleepy,['Uncategorized'],['No Specific Test']
625,BJD,CFASII,v202_w1,Have you taken anything to help you sleep? Does it help?,have you taken anything to help you sleep?,['Sleep Medications and Aids'],['No Specific Test']
653,BJD,CFASII,v257_w1,Was it when you were wide awake?,was it when you were wide awake?,['Uncategorized'],['No Specific Test']
10,,ELSA,heslpf,During the last month how would you rate your sleep quality overall?, sleep: rating sleep quality overall,['Sleep Quality'],['No Specific Test']
9,,ELSA,heslpf,During the last month how would you rate your sleep quality overall?,sleep: rating sleep quality overall,['Sleep Quality'],['No Specific Test']
27,,ELSA,shwake1,NA,difficulty in sleeping in last 30 days,['Sleep Difficulty'],['No Specific Test']
116,,ELSA,sletw,NA,"in the last 12 months, how often has wheezing disturbed sleep",['Sleep Difficulty'],['No Specific Test']
