"","fdd_var","From","To","cohort","Similarity","is_duplicate","master_id"
"53","c5q41awarenessofsnoring","[c5 self completion quest q41] how often have you had the feeling of awareness that you have been snoring? ","In the last 12Mo, have you been awakened from sleep by shortness of breath or a feeling of tightness in your chest","CaPS",0.371,TRUE,"655"
"54","c5q42gaspingorchoking","[c5 self completion quest q42] how often do you gasp or choke during sleep? ","During sleep","CaPS",0.415,TRUE,"593"
"55","c5q43wokengaspingorchoking","[c5 self completion quest q43] how often have you wakened suddenly with the feeling of gasping  or choking? ","parental concerns: child used to sleep through night, suddenly started waking up","CaPS",0.296,TRUE,"721"
"56","c5q44stopbreathing","[c5 self completion quest q44] how often do you have momentary periods during sleep when you stop breathing or breath abnormally? ","Sleep-related breathing test","CaPS",0.406,TRUE,"619"
"57","c5q45kicking","[c5 self completion quest q45] how often do you kick or make other disruptive movements during sleep? ","Disrupted sleep","CaPS",0.476,TRUE,"514"
"58","c5q46minutestosleep","[c5 self completion quest q46] approximately how many minutes does it usually take you to fall asleep?","How many H and Ms of sleep do you usually get when you take a nap","CaPS",0.374,TRUE,"651"
"59","c5q47hoursofsleep","[c5 self completion quest q47] how many hours of sleep do you usually get each night?","How many H and Ms of sleep do you usually get when you take a nap","CaPS",0.442,TRUE,"556"
"60","c5q48nap","[c5 self completion quest q48] how often do you take a nap during the day or early evening? ","When you do doze off during the D and take a nap, do you find this sleep refreshing","CaPS",0.286,TRUE,"736"
"61","c5q50sleepingtablets","[c5 self completion quest q50] do you take sleeping tablets? ","Trouble Sleeping (question)","CaPS",0.409,TRUE,"614"
"62","c5q51asittingandreading","[c5 self completion quest q51a] how likely are you to fall asleep sitting and reading? ","Can only sleep sitting up","CaPS",0.325,TRUE,"678"
"63","c5q51bwatchingtv","[c5 self completion quest q51b] how likely are you to fall asleep watching tv? ","Asleep","CaPS",0.333,TRUE,"675"
"64","c5q51ctheatreormeeting","[c5 self completion quest q51c] how likely are you to fall asleep in a theatre or meeting? ","Asleep","CaPS",0.315,TRUE,"713"
"65","c5q51dpassengerinacar","[c5 self completion quest q51d] how likely are you to fall asleep as a passenger in a car? ","Asleep","CaPS",0.325,TRUE,"680"
"66","c5q51elyingdown","[c5 self completion quest q51e] how likely are you to fall asleep lying down to rest in the afternoon? ","Sleep Question","CaPS",0.3,TRUE,"719"
"67","c5q51fsittingtalking","[c5 self completion quest q51f] how likely are you to fall asleep sitting talking to someone? ","Sleep Talking","CaPS",0.378,TRUE,"647"
"68","c5q51gafterlunch","[c5 self completion quest q51g] how likely are you to fall asleep sitting quietly after lunch without alcohol? ","ALCOHOL USE FOR SLEEP","CaPS",0.353,TRUE,"663"
"69","c5q51htrafficlights","[c5 self completion quest q51h] how likely are you to fall asleep in a car stopped at traffic lights? ","Light sleep","CaPS",0.308,TRUE,"717"
"70","A024Sleep problems","a024 sleep problems - 1=absent, 2=present,","Absent REM sleep","BRACE",0.537,FALSE,"421"
"71","Acting_Comm","acting out dreams comments","How often do you remember your dreams - that is, dreams that occur during your regular sleep and not while napping","AMPLE",0.405,FALSE,"623"
"72","Acting_Ever","acting out dreams ever","How often do you remember your dreams - that is, dreams that occur during your regular sleep and not while napping","AMPLE",0.455,FALSE,"543"
"73","v119_s0","age at onset of sleep problem?","Problem with Sleep","CFAS",0.72,TRUE,"167"
"74","shwake4","alice vignette: difficulty in sleeping in last 30 days","Difficulty sleeping","ELSA",0.664,FALSE,"265"
"75","F_089","amount of sleep usually enjoyed over a 24 hour period","Amount of sleep","Airwave",0.457,FALSE,"540"
"76","v113_c12","any trouble sleeping?","Trouble sleeping in past 4W","CFAS",0.928,TRUE,"12"
"77","EPAQ_001","average daily sleep time (hours) during the week","During sleep","CamCAN",0.517,FALSE,"444"
"78","EPAQ_002","average daily sleep time (hours) during the weekend","During sleep","CamCAN",0.466,FALSE,"529"
"79","bh201","bh201 - how likely are you to doze off or fall asleep during the day?","When you do doze off during the D and take a nap, do you find this sleep refreshing","NICOLA",0.422,FALSE,"588"
"80","bh203","bh203 - how often in the past month have you had trouble with waking up too early and not being able to fall asleep again?","Trouble falling or staying asleep, or sleeping too much in last 2W","NICOLA",0.42,FALSE,"589"
"81","BH203b","bh203b - how often in the past month did you wake up several times per night?","How much of the time has pain made it hard for you to sleep at night over the past 5D","NICOLA",0.241,FALSE,"742"
"82","BH203c","bh203c - how often in the past month did you have trouble staying asleep (including waking far too early)?","Trouble falling or staying asleep, or sleeping too much in last 2W","NICOLA",0.484,FALSE,"508"
"83","BH203d","bh203d - how often in the past month did you wake up after your usual amount of sleep feeling tired and worn out?","How often do you feel tired or fatigued after your sleep","NICOLA",0.432,FALSE,"578"
"84","BH203e","bh203e - do you take any medication (over the counter or prescribed) to help you sleep?","Used medication for anxiety or sleep not as prescribed or not prescribed for you in past 3Mo","NICOLA",0.508,FALSE,"457"
"85","BH203f_hours","bh203f_hours - amount of sleep - hours :","hours of sleep","NICOLA",0.516,FALSE,"445"
"86","BH203f_minutes","bh203f_minutes - amount of sleep - minutes :","Mean sleep latency is less than 5 to 8 minutes","NICOLA",0.412,FALSE,"611"
"87","shwake2","carol vignette: difficulty in sleeping in last 30 days","Difficulty sleeping","ELSA",0.654,FALSE,"298"
"88","cortcar","cortisol awakening response (only if interval le 45 min)","cough causes awakening from sleep","ELSA",0.367,FALSE,"659"
"89","QSSLBD_Sleep","cried out during sleep?","During sleep","AMPLE",0.737,FALSE,"162"
"90","Day sleep","day sleep","Sleep","NIMROD",0.839,FALSE,"81"
"91","DCFS_Sleep","dcfs how much of the day does the patient sleep","Sleep monitoring of patient in sleep lab","AMPLE",0.385,FALSE,"637"
"92","sldurat14x","derived sleep duration [difference between sleep and wake times] (hours)","between dinner and the hour of sleep","MRC",0.532,FALSE,"427"
"93","scsytime","derived: time respondent went to sleep yesterday - 24 hour clock","When I was in pain I went to sleep in past 7D","ELSA",0.327,FALSE,"677"
"94","v117_s2","developed any sleeping problems?","Problem with Sleep","CFAS",0.487,FALSE,"505"
"95","v88_a0","difficulty falling asleep?","Difficulty sleeping","CFAS",0.687,TRUE,"217"
"96","v205_w1","difficulty falling asleep?","Difficulty sleeping","CFASII",0.687,TRUE,"230"
"97","v88_h1","difficulty in getting to sleep","In the past Y, have you had difficulty getting to sleep","CFASII",0.886,TRUE,"34"
"98","shwake1","difficulty in sleeping in last 30 days","Difficulty sleeping","ELSA",0.904,TRUE,"27"
"99","v103_h2","difficulty with sleeping now?","Difficulty sleeping","CFAS",0.907,TRUE,"23"
"100","Disturbed sleep","disturbed sleep","Stress disturbed my sleep in past 7D","NIMROD",0.868,FALSE,"63"
"101","SLEEP_WELL_FU2","do you generally sleep well? (fu2)","I didn't sleep as well as I usually sleep","EPIC",0.5,FALSE,"493"
"102","SLEEP_WELL_FU3","do you generally sleep well? (fu3)","I didn't sleep as well as I usually sleep","EPIC",0.497,FALSE,"496"
"103","NAP_FU2","do you normally take a nap during the day? (fu2)","Do you normally work or attend school during the D and sleep at night","EPIC",0.442,FALSE,"558"
"104","NAP_FU3","do you normally take a nap during the day? (fu3)","Do you normally work or attend school during the D and sleep at night","EPIC",0.44,FALSE,"561"
"105","sla6","does child sleep in room alone or with others?","Does your child usually sleep with the mouth open","MRC",0.45,FALSE,"547"
"106","sla4","does child sleep in room by himself or with others?","Does your child usually sleep with the mouth open","MRC",0.389,FALSE,"633"
"107","Acting_duration","duration of acting out dreams in months","How often do you remember your dreams - that is, dreams that occur during your regular sleep and not while napping","AMPLE",0.401,FALSE,"624"
"108","Cried_Out_duration","duration of cried out during sleep in months","Duration of sleep","AMPLE",0.663,FALSE,"266"
"109","Ex_Sleep_Duration","duration of excessive daytime sleepiness in months","Excessive daytime sleepiness - normal night sleep","AMPLE",0.782,FALSE,"105"
"110","Inc_Sleep_Comm","duration of increased sleepiness in months","Duration of sleep","AMPLE",0.544,FALSE,"417"
"111","Insomnia_duration","duration of insomnia in months","Initial insomnia","AMPLE",0.628,FALSE,"322"
"112","Night_duration_months","duration of nightmares in months","Nightmares, REM-sleep type","AMPLE",0.557,FALSE,"405"
"113","DURSLEEP_3HC","duration of sleep after assigning median to extreme values(epaq2_3hc)","REM sleep duration","EPIC",0.376,FALSE,"650"
"114","DURSLEEPWKDAY_2HC","duration of sleeping on weekday (epaq 2hc)","sleep latency on weekdays","EPIC",0.52,FALSE,"441"
"115","DURSLEEPWKDAY_3HC","duration of sleeping on weekday (epaq 3hc)","sleep latency on weekdays","EPIC",0.526,FALSE,"433"
"116","DURSLEEPWKEND_2HC","duration of sleeping on weekend (epaq 2hc)","Duration of sleep","EPIC",0.509,FALSE,"456"
"117","DURSLEEPWKEND_3HC","duration of sleeping on weekend (epaq 3hc)","Duration of sleep","EPIC",0.515,FALSE,"449"
"118","DURSLEEP_2HC","duration of sleeping: wkendsleep*2 wkdaysleep*5; (epaq 2hc)","Sleep","EPIC",0.533,FALSE,"423"
"119","Vivid_duration_months","duration of vivid dreams in months","involuntary movements during sleep with vivid dream recall","AMPLE",0.397,FALSE,"628"
"120","SP16","during the past month how would you rate your sleep quality overall?","Overall Sleep Quality Rating","CamCAN",0.651,FALSE,"300"
"121","SP2","during the past month, how long (in minutes) has it usually taken you to fall asleep each night?","Sleep during the night in past 7D","CamCAN",0.489,FALSE,"504"
"122","hrssle14x","during the past month, how many hours of actual sleep did you get at night?","Hours of Actual Sleep at Night","MRC",0.707,FALSE,"204"
"123","SP4","during the past month, how many hours of actual sleep did you get at night? (this may be different than the number of hours you spend in bed)","Hours of Actual Sleep at Night","CamCAN",0.576,FALSE,"361"
"124","SP14","during the past month, how often have you had trouble sleeping because you:- any other reasons, and if so how often?","Trouble Sleeping Because of Other Reason","CamCAN",0.674,FALSE,"255"
"125","SP8","during the past month, how often have you had trouble sleeping because you:- cannot breathe comfortably","Trouble Sleeping, Cannot Breathe Comfortably","CamCAN",0.79,FALSE,"88"
"126","SP5","during the past month, how often have you had trouble sleeping because you:- cannot get to sleep within 30 minutes","Trouble Sleeping, Cannot Get to Sleep Within 30 Minutes","CamCAN",0.781,FALSE,"106"
"127","SP9","during the past month, how often have you had trouble sleeping because you:- cough or snore loudly","Trouble Sleeping, Cough or Snoring Loudly","CamCAN",0.775,FALSE,"107"
"128","SP10","during the past month, how often have you had trouble sleeping because you:- feel too cold","Trouble Sleeping, Feel Too Cold","CamCAN",0.683,FALSE,"250"
"129","SP11","during the past month, how often have you had trouble sleeping because you:- feel too hot","Trouble Sleeping, Feel Too Hot","CamCAN",0.681,FALSE,"252"
"130","SP12","during the past month, how often have you had trouble sleeping because you:- had bad dreams","I had trouble sleeping because of bad dreams in the past 7D","CamCAN",0.841,FALSE,"80"
"131","SP13","during the past month, how often have you had trouble sleeping because you:- have pain","Trouble Sleeping Because of Pain","CamCAN",0.716,FALSE,"169"
"132","SP7","during the past month, how often have you had trouble sleeping because you:- have to get up to use the bathroom","Trouble Sleeping, Get Up to Use the Bathroom","CamCAN",0.708,FALSE,"174"
"133","SP6","during the past month, how often have you had trouble sleeping because you:- wake up in the middle of the night or early morning","Trouble Sleeping, Waking Up in the Middle of the Night or Early Morning","CamCAN",0.773,FALSE,"108"
"134","SP18","during the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","While resting, sleeping, eating or engaging in other vital activities","CamCAN",0.511,FALSE,"455"
"135","SP17","during the past month, how often have you taken medicine (prescribed or “over the counter”) to help you sleep?","Take Medicine to Help Sleep","CamCAN",0.528,FALSE,"431"
"136","slmedi14x","during the past month, how often have you taken medicine to help you sleep?","Take Medicine to Help Sleep","MRC",0.67,FALSE,"263"
"137","slqual14x","during the past month, how would you rate your sleep quality overall?","Overall Sleep Quality Rating","MRC",0.651,FALSE,"302"
"138","SAD_SLEEP_FU4","during the time when you felt sad or depressed for at least 2 weeks, did you: have more trouble falling asleep than you usually do, or sleeping too much? (fu4)","Trouble falling or staying asleep, or sleeping too much in last 2W","EPIC",0.604,FALSE,"341"
"139","Epworth Sleepiness Scale (X)","epworth sleepiness scale score at visit x","Sleeping out","CamPaIGN",0.366,FALSE,"660"
"140","EPWORTH_SS_total","epworth sleepiness scale total","Sleeping out","ICICLE",0.399,FALSE,"627"
"141","Ex_Sleep_Ever","excessive daytime sleepiness ever","Excessive daytime sleepiness - normal night sleep","AMPLE",0.863,FALSE,"64"
"142","F_188","following traumatic event has been bothered by difficulty falling or staying asleep","Have Difficulty Getting to Sleep and Staying Asleep","Airwave",0.515,FALSE,"446"
"143","F_184","following traumatic event has been bothered by upsetting dreams","Have you ever had frequent problems getting to sleep at the beginning of the night which has negatively affected how you function during the following day","Airwave",0.262,FALSE,"741"
"144","ghq0809","ghq: lost much sleep over worry","Sleep loss","MRC",0.428,FALSE,"581"
"145","ghqsleep","ghq: lost sleep over worry","Sleep loss","ELSA",0.446,FALSE,"548"
"146","b2","had difficulty in staying asleep once you are off?","Have Difficulty Getting to Sleep and Staying Asleep","GS:SFHS",0.741,FALSE,"160"
"147","v201_w1","have you had any trouble sleeping recently?","I have no trouble sleeping.","CFASII",0.821,TRUE,"83"
"148","scghqb","have you recently lost much sleep over worry?","Sleep loss","ELSA",0.386,TRUE,"634"
"149","ghq0899","have you recently lost much sleep over worry?","Sleep loss","MRC",0.386,TRUE,"635"
"150","v202_w1","have you taken anything to help you sleep?","Take Medicine to Help Sleep","CFASII",0.401,TRUE,"625"
"151","q20m","how frequently did you wake up with a full erection during the past month?","Frequently Have Trouble Getting to Sleep","ELSA",0.344,FALSE,"671"
"152","v86_a0","how long troubled sleep?","Trouble sleeping in past 4W","CFAS",0.672,TRUE,"257"
"153","Hypnotic_Dose_Comm","hypnotic dose/comments","sleep disorder; hypnotics","AMPLE",0.522,FALSE,"438"
"154","Hypnotic","hypnotic prescribed?","Used medication for anxiety or sleep not as prescribed or not prescribed for you in past 3Mo","AMPLE",0.561,FALSE,"397"
"155","mp19","i often have ideas running through my head so that i cannot sleep","Cannot sleep at all","MRC",0.442,FALSE,"559"
"156","sletw","in the last 12 months, how often has wheezing disturbed sleep","In the last 12Mo, how often, on average, has your sleep been disturbed due to wheezing","ELSA",0.764,FALSE,"116"
"157","Q54","in the last 30 days, how much difficulty have you had with sleeping, such as falling asleep, waking up frequently during the night or waking up too early in the morning","How many separate times in your life have you had difficulty getting to sleep, staying asleep or falling back to sleep after waking up during the night, for at least 1Mo","NICOLA",0.603,FALSE,"344"
"158","bedw71","in the winter do you usually sleep with your bedroom windows open?","Does your child usually sleep with the mouth open","MRC",0.443,FALSE,"555"
"159","Insomnia_Ever","insomnia ever","Initial insomnia","AMPLE",0.767,FALSE,"112"
"160","v204_w1","insomnia most of the night and sleeps mainly during the day","Sleeps during day","CFASII",0.515,TRUE,"447"
"161","INSOMNIA_FU2","insomnia requiring treatment (fu2)","Initial insomnia","EPIC",0.48,FALSE,"511"
"162","INSOMNIA_YEAR_FU2","insomnia requiring treatment: first date (year) (fu2)","Initial insomnia","EPIC",0.434,FALSE,"576"
"163","ktwsl62","kind of trouble with sleep","Trouble sleeping in past 4W","MRC",0.707,FALSE,"205"
"164","ktws62","kind of trouble with sleep (summary code) - values 26-56 are all multiple punched but exact responses not known","Multiple sleep latency test","MRC",0.337,FALSE,"672"
"165","Q25","lost much sleep over worry","Sleep loss","NICOLA",0.476,FALSE,"518"
"166","b1","lost much sleep over worry?","Sleep loss","GS:SFHS",0.476,FALSE,"517"
"167","ghqsleep","lost sleep over worry","Sleep loss","ELSA",0.501,FALSE,"491"
"168","shwake3","margaret vignette: difficulty in sleeping in last 30 days","Difficulty sleeping","ELSA",0.617,FALSE,"335"
"169","SLEEPTIME_HLEQ2","minutes sleep per night on average (derived from question a5e ) (hleq2)","Sleep Question","EPIC",0.392,FALSE,"631"
"170","pscedc","much of the time during the past week, has your sleep been restless?","My sleep was restless in past 7D","ELSA",0.615,FALSE,"336"
"171","CESDQ11","my sleep was restless","Sleep is Restless","NICOLA",0.954,FALSE,"8"
"172","Night_Comm","nightmares comments","Nightmares, REM-sleep type","AMPLE",0.607,FALSE,"338"
"173","Night_Ever","nightmares ever","Nightmares, REM-sleep type","AMPLE",0.676,FALSE,"254"
"174","nig5657","nightmares or disturbed sleep during past year (asked at 11 years)","Stress disturbed my sleep in past 7D","MRC",0.549,FALSE,"413"
"175","nig5152","nightmares or disturbed sleep during past year (asked at 6 years) number of times any member of household has gone to child","Stress disturbed my sleep in past 7D","MRC",0.427,FALSE,"583"
"176","Nocturia","nms-quest 0=symptom absent, 1=symptom present","sleep symptoms","ICICLE",0.574,TRUE,"364"
"177","Nocturia Duration","nms-quest symptom duration in months","sleep symptoms","ICICLE",0.436,TRUE,"573"
"178","nohtbc10","no height: child asleep","Asleep","ELSA",0.651,FALSE,"301"
"179","nowtbc11","no weight: child asleep","Asleep","ELSA",0.647,FALSE,"303"
"180","npisleepdis","npi distress sleep","Stress disturbed my sleep in past 7D","AMPLE",0.558,FALSE,"404"
"181","npisleepfreq","npi frequency of sleep","NPI - Sleep and Nighttime Behavior Disorders Frequency","AMPLE",0.578,FALSE,"358"
"182","npisleepsev","npi severity of sleep","Usual Severity Difficulty Sleeping","AMPLE",0.53,FALSE,"428"
"183","npisleep","npi sleep","Sleep","AMPLE",0.704,FALSE,"206"
"184","npisleeptot","npi total (axb) sleep","Total Sleep Time","AMPLE",0.577,FALSE,"359"
"185","npisleepnumber","npi total number sleep","Total Sleep Time","AMPLE",0.587,FALSE,"353"
"186","slcn","number of sleep complaints","patient complaints: interrupted sleep","MRC",0.543,FALSE,"419"
"187","v87_a0","o-rate insomnia","Initial insomnia","CFAS",0.712,TRUE,"170"
"188","v300_a0","o-respondent fell asleep","Asleep","CFAS",0.62,TRUE,"328"
"189","v269_a0","o-restless","Sleep is Restless","CFAS",0.82,TRUE,"85"
"190","v361_c12","obs - falls asleep","Asleep","CFAS",0.655,TRUE,"270"
"191","v638_w1","obs - falls asleep","Asleep","CFASII",0.655,TRUE,"281"
"192","v362_c12","obs - generally sleepy","At what time do you usually go to sleep - feel sleepy and ready to go to bed","CFAS",0.505,TRUE,"463"
"193","v639_w1","obs - generally sleepy","At what time do you usually go to sleep - feel sleepy and ready to go to bed","CFASII",0.505,TRUE,"474"
"194","SLEEP_TIME_FU2","on average, how many hours do you sleep in a 24 hour period? (fu2)","hours of sleep","EPIC",0.585,FALSE,"354"
"195","SLEEP_TIME_FU3","on average, how many hours do you sleep in a 24 hour period? (fu3)","hours of sleep","EPIC",0.583,FALSE,"355"
"196","v102_h2","onset. difficulty sleeping?","Difficulty sleeping","CFAS",0.899,TRUE,"29"
"197","INSOMNIA_FU3","other: insomnia requiring treatment (fu3)","Initial insomnia","EPIC",0.47,FALSE,"524"
"198","F_734","over past 2 weeks has been bothered by trouble falling or staying asleep - too much sleep","Trouble falling or staying asleep, or sleeping too much in last 2W","Airwave",0.8,FALSE,"87"
"199","pssle89","over the last year have you had trouble getting off to sleep?","Have a Lot of Trouble Getting to Sleep","MRC",0.77,FALSE,"109"
"200","pswak89","over the last year have you had trouble with waking up and not being able to get back to sleep?","I have no trouble sleeping.","MRC",0.541,FALSE,"420"
"201","PH308","ph308 - does your arthritis make it difficult for you to sleep at night?","Difficulty sleeping","NICOLA",0.39,FALSE,"632"
"202","PSQI_Global","pittsberg sleep quality index total","Pittsburgh sleep quality index","ICICLE",0.679,FALSE,"253"
"203","psqi14x","pittsburgh sleep quality index (psqi): total score","Pittsburgh Sleep Quality Index score","MRC",0.887,FALSE,"33"
"204","cw1_ghq122","post-c19: ghq12- whether lost much sleep over worry","sleep posture","MRC",0.313,TRUE,"715"
"205","v117_s0","problems sleeping?","Problem with Sleep","CFAS",0.712,TRUE,"172"
