,fdd_var,fdd_desc,cohort
49,F_432,Year of diagnosis - Cancer,airwave
50,F_433,Year of diagnosis - Migraine,airwave
51,F_434,Year of diagnosis - Diabetes,airwave
52,F_435,Year of diagnosis - COPD,airwave
53,F_436,Year of diagnosis - Asthma,airwave
54,F_437,Year of diagnosis - allergy,airwave
55,F_438,Year of diagnosis - Cataract,airwave
56,F_439,Year of diagnosis - Glaucoma,airwave
57,F_440,Year of diagnosis - Epilepsy,airwave
58,F_441,Year of diagnosis - Arthritis,airwave
59,F_442,Year of diagnosis - Parkinson's,airwave
60,F_443,Year of diagnosis - High blood pressure,airwave
61,F_444,Year of diagnosis - Stroke/TIA,airwave
62,F_445,Year of diagnosis - Thyroid,airwave
63,F_446,Year of diagnosis - Angina,airwave
64,F_447,Year of diagnosis - Heart attack,airwave
65,F_448,Year of diagnosis - Other heart conditions,airwave
66,F_449,Year of diagnosis - Chronic fatigue/ME,airwave
67,F_450,Year of diagnosis - Depression,airwave
68,F_451,Year of diagnosis - Chronic liver disease,airwave
69,F_452,Year of diagnosis - deafness/partial hearing loss,airwave
70,F_455,Currently smoking cigarettes,airwave
71,F_733,Over past 2 weeks has been bothered by Feeling down - depressed or hopeless,airwave
72,F_734,Over past 2 weeks has been bothered by Trouble falling or staying asleep - too much sleep,airwave
73,salary,Total personal annual income received before tax ,airwave
74,F_005,Years in current role,airwave
75,F_017,Indication and rate of concern about personal proximity to Radio Masts on personal health,airwave
76,F_019,Indication and rate of concern about the effect of Airwave radio on personal health,airwave
77,F_033,Symptoms experienced while using or shortly after using mobile phone(s) - No symptoms,airwave
78,F_034,Symptoms experienced while using or shortly after using mobile phone(s) - Headache,airwave
79,F_035,Symptoms experienced while using or shortly after using mobile phone(s) - Dizziness,airwave
80,F_036,Symptoms experienced while using or shortly after using mobile phone(s) - Numbness in hands,airwave
81,F_037,Symptoms experienced while using or shortly after using mobile phone(s) - Warming sensation on face,airwave
82,F_038,Symptoms experienced while using or shortly after using mobile phone(s) - Deafness/partial hearing loss,airwave
83,F_039,Symptoms experienced while using or shortly after using mobile phone(s) - Burning sensation in ear,airwave
84,F_040,Symptoms experienced while using or shortly after using mobile phone(s) - Tinnitus/ringing sound in ear,airwave
85,F_041,Symptoms experienced while using or shortly after using mobile phone(s) - Any other symptoms - please specify,airwave
86,F_042,Symptoms experienced while using or shortly after using mobile phone(s) - Nausea,airwave
87,F_043,Other specified symptom while using - or shortly after using mobile phone(s),airwave
88,F_044,Reporting bothersome headaches in the last twelve months,airwave
89,F_045,Frequency of bothersome headaches,airwave
90,F_046,Bothersome headaches experienced following use of phone: Moderate or Severe Headache,airwave
91,F_047,Bothersome headaches experienced following use of phone: Headache on one side of the head,airwave
92,F_048,Bothersome headaches experienced following use of phone: Throbbing/pulsating headache,airwave
93,F_049,Other symptoms experienced with bothersome headaches - A headache made worse by light exercise,airwave
94,F_050,Frequency of the 'Moderate or Severe' headache,airwave
95,F_051,Frequency of the headache 'on one side of the head',airwave
96,F_052,Frequency of the 'throbbing/pulsating' headache,airwave
97,F_053,Frequency of the headache which is 'made worse by light exercise,airwave
98,F_054,Other symptoms experience with bothersome headaches described - feel sick or vomit,airwave
99,F_055,Other symptoms experience with bothersome headaches described - bothered by ordinary daylight,airwave
100,F_056,Other symptoms experience with bothersome headaches described - bother by general noise,airwave
101,F_058,Any experience of loss of sight or impairment of vision in one eye - accompanied by pain around the eye caused by eye movement (opticus neuritis),airwave
102,F_059,Any pain or discomfort in your chest in the past year,airwave
103,F_060,Pain or discomfort in chest occurring when walking uphill or hurrying.,airwave
104,F_061,Pain or discomfort in chest when walking at an ordinary pace on the level,airwave
105,F_062,Action taken after experiencing pain or discomfort in the chest,airwave
106,F_063,Pain or discomfort goes away when standing still,airwave
107,F_064,Time taken before the pain or discomfort goes away when standing still,airwave
108,F_065,A severe pain across the front of your chest lasting half an hour or more in the past year,airwave
109,F_066,Number of attacks (sever pain and discomfort in chest) in the past year,airwave
110,F_067,In the past year you have had a severe pain across the front of your chest lasting half an hour or more - did you go to your doctor,airwave
111,F_068,The diagnosis for chest pain,airwave
112,F_071,Feelings during the past 2 weeks - Thinking requires effort,airwave
113,F_073,Feelings during the past 2 weeks - I feel like doing all kinds of nice things,airwave
114,F_074,Feelings during the past 2 weeks - I feel fit,airwave
115,F_075,Feelings during the past 2 weeks - I do quite a lot within a day,airwave
116,F_077,Feelings during the past 2 weeks - I feel weak,airwave
117,F_078,Feelings during the past 2 weeks - I don't do much during the day,airwave
118,F_079,Feelings during the past 2 weeks - I can concentrate well,airwave
119,F_080,Feelings during the past 2 weeks - I feel rested,airwave
120,F_082,Feelings during the past 2 weeks - Physically - I am in bad condition,airwave
121,F_083,Feelings during the past 2 weeks - I am full of plans,airwave
122,F_084,Feelings during the past 2 weeks - I get tired very quickly,airwave
123,F_085,Feelings during the past 2 weeks - I have a low output,airwave
124,F_086,Feelings during the past 2 weeks - I have no desire to do anything,airwave
125,F_087,Feelings during the past 2 weeks - My thoughts wander easily,airwave
126,F_088,Feelings during the past 2 weeks - Physically - I feel in good shape,airwave
127,F_090,When talking on your mobile phone - the side of head generally used,airwave
128,F_091,Frequency of moving the mobile phone from ear to ear during calls,airwave
129,F_152,Age of father when he died,airwave
130,F_153,Job satisfaction,airwave
131,F_155,Age of mother when she died,airwave
132,F_158,Over past 2 weeks has been bothered by Poor appetite or over-eating,airwave
133,F_159,Over past 2 weeks has been bothered by Feeling bad about themselves; has a feeling of letting down self or family,airwave
134,F_160,Over past 2 weeks has been bothered by Trouble concentrating on things such as reading - TV or newspaper,airwave
135,F_161,Over past 2 weeks has been bothered by Moving or speaking slowly; fidgety or restless,airwave
136,F_162,Over past 2 weeks has been bothered by Thoughts would be better off dead or self harming,airwave
137,F_163,Anxiety in the past 2 weeks. Feeling tense or 'wound up',airwave
138,F_164,Anxiety in the past 2 weeks. Feeling frightened as if something awful is about to happen,airwave
139,F_165,Anxiety in the past 2 weeks. Worrying thoughts,airwave
140,F_167,Anxiety in the past 2 weeks. Frightened feeling like 'butterflies' in the stomach,airwave
141,F_168,Anxiety in the past 2 weeks. Feeling restless - needing to be on the move,airwave
142,F_169,Anxiety in the past 2 weeks. Sudden feelings of panic,airwave
143,F_181,Bothered by a disturbing incident which has occurred over the past 6 months.,airwave
144,F_183,Following traumatic event has been bothered by recurrence of upsetting thoughts or memories ,airwave
145,F_184,Following traumatic event has been bothered by upsetting dreams,airwave
146,F_185,Following traumatic event has been bothered by acting or feeling though the event were happening again,airwave
147,F_186,Following traumatic event has been bothered by being upset by reminders of the event,airwave
148,F_187,Following traumatic event has been bothered by bodily reactions when reminded of the event,airwave
149,F_189,Following traumatic event has been bothered by irritability or outbursts of anger,airwave
150,F_190,Following traumatic event has been bothered by difficulty concentrating,airwave
151,F_191,Following traumatic event has been bothered by heightened awareness of potential dangers to self or others,airwave
152,F_192,Following traumatic event has been jumpy or startled at the unexpected,airwave
153,F_193,Medical or other professional help sought to cope with disturbing incident,airwave
154,F_194,Over the past 10 years - have tried to become pregnant over a period of at least a year without success,airwave
155,F_195,Year of first experience of difficulties becoming pregnant,airwave
156,F_196,Month of first experience of difficulties becoming pregnant,airwave
157,F_197,Still trying to get pregnant,airwave
158,F_198,Became pregnant by the end of this period,airwave
159,F_199,Number of years trying to get pregnant before giving up or becoming pregnant,airwave
160,F_200,Number of months trying to get pregnant before giving up or becoming pregnant,airwave
161,F_201,Reason for giving up attempts to become pregnant,airwave
162,F_202,Other reason for giving up attempts to become pregnant,airwave
163,F_203,Regular smoker when commencing attempts to get pregnant,airwave
164,F_204,Spouse or partner was a regular smoker when commencing attempts to get pregnant,airwave
165,F_206,Ever taken contraceptive pill,airwave
166,F_218,Year started smoking,airwave
167,F_219,Kind of cigarette usually smoked,airwave
168,F_221,Number of cigarettes a day usually smoked before giving up,airwave
169,F_222,Year quit smoking,airwave
170,F_232,Of those who dont drink - did they ever drink alcohol,airwave
171,F_236,Past drinking habits,airwave
172,F_237,Number of days vigorous physical activities during the last 7 days,airwave
173,F_249,During the last 7 days - on how many days did you walk for at least 10 minutes at a time,airwave
174,F_251,Minutes spent walking in the past 7 days,airwave
175,F_253,Minutes spent sitting on weekdays during the last 7 days,airwave
176,F_275,Days per week eating vegetables,airwave
177,F_276,Number of heaped tablespoons of vegetables per day,airwave
178,F_277,Days per week eating fruit,airwave
179,F_278,Pieces or portions of fruit per day,airwave
180,F_298,Year when the fertility treatment started,airwave
181,F_300,Participant or spouse/partner has had any disease - condition - medical or surgical treatment that makes it difficult or impossible to have children,airwave
182,F_302,Recipient of the treatment for medical condition which makes it difficult or impossible to have children,airwave
183,F_331,Is the radio usage reported typical for an average shift,airwave
184,F_332,During normal day to day work to some extent - Have to work very hard,airwave
185,F_333,During normal day to day work to some extent - Have an excessive amount of work to do,airwave
186,F_334,During normal day to day work to some extent - Have a lot say about what happens in the job,airwave
187,F_335,During normal day to day work to some extent - Have a high level of skill,airwave
188,F_336,During normal day to day work to some extent - Have the freedom to decide what to do,airwave
189,F_337,During normal day to day work to some extent - Have the chance to be creative,airwave
190,F_354,Is your biological father still alive,airwave
191,F_355,Is your biological mother still alive,airwave
192,F_356,Are you following any special kind of diet right now,airwave
193,F_357,Specify your other reason for dieting,airwave
194,F_358,How often do you use a Motorcycle radio in Transmit/PTT mode,airwave
195,F_359,How often do you use a vehicle mounted radio in transmit/PTT mode,airwave
196,F_360,how often do you use a body mounted radio in Transmit/PTT mode,airwave
197,F_361,how often do you use any other radio types in Transmit/PTT mode,airwave
198,F_362,How often do you use a personal radio with earpiece/microphone in Transmit/PTT mode,airwave
199,F_363,How often do you use a personal radio without earpiece/microphone in Transmit/PTT mode,airwave
200,F_364,How often do you use a vehicle mounted radio in PSTN mode,airwave
201,F_365,How often do you use a body mounted radio in PSTN mode,airwave
202,F_366,How often do you use any other radio in PSTN mode,airwave
203,F_367,How often do you use a personal radio with earpiece/microphone in PSTN mode,airwave
204,F_368,How often do you use a personal radio without earpiece/microphone in PSTN mode,airwave
205,F_369,How often do you use a desk radio in PSTN mode,airwave
206,F_370,How often do you use a Motorcycle radio in PSTN mode,airwave
207,F_371,How often do you use a desk radio in transmit/PTT mode,airwave
208,F_372,Year of joining the police force,airwave
209,F_373,Airwave Radio system user,airwave
210,F_374,Year commenced using Airwave radios,airwave
211,F_375,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode:  No Symptoms,airwave
212,F_376,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Headache,airwave
213,F_377,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Dizziness,airwave
214,F_378,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Numbness in hands,airwave
215,F_379,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Nausea,airwave
216,F_380,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Warming on face,airwave
217,F_381,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Deafness/partial hearing loss,airwave
218,F_382,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Burning sensation in ear,airwave
219,F_383,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Tinnitus/ringing sound,airwave
220,F_384,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode: Other symptoms,airwave
221,F_385,Other specified location of Airwave radio when are using it in Press-to-talk or mobile phone mode,airwave
222,F_386,The usual position of  handset while using Airwave Radio and when not wearing any earpiece,airwave
223,F_387,An estimate of the number of calls on Airwave radio during the last full shift  - Personal radio ,airwave
224,F_388,An estimate of the number of calls on Airwave radio the last full shift  - Pool radio,airwave
225,F_389,An estimate of the number of calls on Airwave radio the last full shift  - Vehicle mounted radio,airwave
226,F_390,An estimate of the number of calls on Airwave radio the last full shift  - Desk mounted radio ,airwave
227,F_391,An estimate of the number of calls on Airwave radio the last full shift  - Body mounted radio (covert use),airwave
228,F_392,An estimate of the number of calls on Airwave radio the last full shift  - Radio use in direct mode,airwave
229,F_393,Approximate duration (in minutes) of outgoing Radio Calls - Personal radio ,airwave
230,F_394,Approximate duration (in minutes) of outgoing Radio Calls - Pool radio,airwave
231,F_395,Approximate duration (in minutes) of outgoing Radio Calls - Vehicle mounted radio,airwave
232,F_396,Approximate duration (in minutes) of outgoing Radio Calls - Desk mounted radio ,airwave
233,F_397,Approximate duration (in minutes) of outgoing Radio Calls - Body mounted radio (covert use),airwave
234,F_398,Approximate duration (in minutes) of outgoing Radio Calls - Radio use in direct mode,airwave
235,F_399,Proportion of total radio use with a Pool radio,airwave
236,F_400,Have you ever worked in an operations or control room since joining the Police Force.,airwave
237,F_401,Proportion of total working time spent in an operations or control room since joining the police force,airwave
238,F_402,Have you ever used the old analogue radio system,airwave
239,F_403,How many years were you using the old analogue radio system,airwave
240,F_404,Are you still using analogue radio at time of survey,airwave
241,F_405,Currently using a mobile phone,airwave
242,F_406,Year commenced using a mobile phone,airwave
243,F_408,Currently using hands-free equipment or a headset with mobile phone(s),airwave
244,F_409,Year commenced using hands-free equipment or a headset,airwave
245,F_410,Estimate of the proportion of time usually spent using hands-free equipment or a handset while talking on mobile phone(s),airwave
246,F_453,Days of sickness leave taken in the past year,airwave
247,F_454,Number of times GP was consulted for health problems in the past year,airwave
248,F_456,Number of people who smoke in the same household (including self),airwave
249,F_457,Hours per week exposed to other peoples tobacco smoke at home,airwave
250,F_458,Hours per week exposed to other peoples tobacco smoke outside the home,airwave
251,F_459,Drinks consumed in the past seven days - Red Wine,airwave
252,F_460,Drinks consumed in the past seven days - White Wine,airwave
253,F_461,Drinks consumed in the past seven days - Fortified Wine,airwave
254,F_462,Drinks consumed in the past seven days - Spirits,airwave
255,F_463,Drinks consumed in the past seven days - Beer,airwave
256,F_464,Change of drinking habits in the past five years,airwave
257,F_465,Where drinking habits have changed in the past five years.  Alcohol is consumed: ,airwave
258,F_467,Reasons for stopping or reducing drinking alcohol. Specified:,airwave
259,F_468,Year stopped drinking alcohol,airwave
260,F_469,Hours per week do you usually worked (Excluding overtime),airwave
261,F_470,Hours per week of overtime,airwave
262,F_472,Reason for stopping or reducing drinking alcohol,airwave
263,F_507,Are you a shift worker,airwave
264,F_508,How much control do you have over shift patterns,airwave
265,F_509,How much control do you have over shift patterns. Specified:,airwave
266,F_510,How often do you get <= 9 hours of rest between shifts,airwave
267,F_511,How often do you work at least 6 shifts in a row,airwave
268,F_513,How often do you have 4 days off between work periods (excluding holiday),airwave
269,F_514,How often do you have 1 day off between work periods,airwave
270,F_516,How many night shifts worked in a row,airwave
271,F_517,How many free weekends per month,airwave
272,F_544,Mother: Cause of death - Cancer type,airwave
273,F_546,Mother: Other cause of death,airwave
274,F_593,Cancer in participant,airwave
275,F_603,Father: Cause of death,airwave
276,F_608,Father: Cause of death - Cancer type,airwave
277,F_610,Father: Other cause of death,airwave
278,F_612,Mother: Cause of death,airwave
279,F_616,Recipient of the fertility treatment,airwave
280,F_644,Model of Airwave radio used - Sepura,airwave
281,F_645,Model of Airwave radio used - Motorola,airwave
282,F_646,Model of Airwave radio used - Nokia,airwave
283,F_647,Model of Airwave radio used - Sepura Vehicle,airwave
284,F_648,Model of Airwave radio used - Cleartone,airwave
285,F_649,Model of Airwave radio used - Other,airwave
286,f_656,What year did you start using Airwave radios,airwave
287,F_657,Symptoms experienced while using or shortly after using your Airwave radio in PTT or PSTN mode,airwave
288,F_658,Specific health related problems reported while working in operations/control room,airwave
289,F_659,Number of specified health related problems while working in operations/control room,airwave
290,F_710,Not counting SMS text messaging - estimate of total duration of phone calls made and received on mobile phone(s) in the last 24 hours: HH,airwave
291,F_715,Frequency of consumption of alcoholic drink,airwave
292,F_716,Six or more drinks on one occasion,airwave
293,F_718,Hours spent watching television during the last 7 days,airwave
294,F_719,Consumption of oily fish (herring - kipper - mackerel - salmon - sardines - trout),airwave
295,F_720,Consumption of white fish (cod - haddock - tinned tuna),airwave
296,F_721,Consumption of white meat (chicken - duck - turkey - lobster - shrimp - crab),airwave
297,F_722,Consumption of red meat (beef - veal - lamb - mutton - pork),airwave
298,F_723,Type of spread,airwave
299,F_724,Consumption of nuts,airwave
300,F_725,Reason for diet specified,airwave
301,F_726,Cans of fizzy drinks per day,airwave
302,F_727,Cups of water (bottled or tap) every day,airwave
303,F_728,When having difficulties at work get support from colleagues,airwave
304,F_729,When having difficulties at work gets colleagues willing to listen to work related problems,airwave
305,F_730,When having difficulties at work gets help and support from immediate superior,airwave
306,F_731,When having difficulties at work gets immediate superior willing to listen to work related problems,airwave
307,F_732,Over past 2 weeks has been bothered by Little interest or pleasure in doing things,airwave
308,F_753,Spouse/partner has sought any medical help because of problems with conceiving,airwave
309,F_754,Treatment received for infertility,airwave
310,F_765,Age when periods stopped,airwave
311,F_768,Ever had HRT,airwave
312,F_770,Date of birth of spouse or partner,airwave
313,F_771,Never been pregnant/never fathered a child,airwave
314,F_772,Number of times pregnant/pregnancies fathered,airwave
315,F_773,1 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
316,F_774,1 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
317,F_775,1 Reason for end of pregnancy,airwave
318,F_776,1 Number of babies,airwave
319,F_777,1 Sex of baby,airwave
320,F_778,1 Weight of baby - Metric/Imperial,airwave
321,F_779,1 Weight of baby - Pounds/Kilos,airwave
322,F_780,1 Weight of baby - Ounces/Grammes,airwave
323,F_781,1 Delivery,airwave
324,F_782,2 Second pregnancy,airwave
325,F_783,2 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
326,F_784,2 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
327,F_785,2 Reason for end of pregnancy,airwave
328,F_786,2 Number of babies,airwave
329,F_787,2 Sex of baby,airwave
330,F_788,2 Weight of baby - Metric/Imperial,airwave
331,F_789,2 Weight of baby - Pounds/Kilos,airwave
332,F_790,2 Weight of baby - Ounces/Grammes,airwave
333,F_791,2 Delivery,airwave
334,F_792,3 Third pregnancy,airwave
335,F_793,3 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
336,F_794,3 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
337,F_795,3 Reason for end of pregnancy,airwave
338,F_796,3 Number of babies,airwave
339,F_797,3 Sex of baby,airwave
340,F_798,3 Weight of baby - Metric/Imperial,airwave
341,F_799,3 Weight of baby - Pounds/Kilos,airwave
342,F_800,3 Weight of baby - Ounces/Grammes,airwave
343,F_801,3 Delivery,airwave
344,F_802,4 Fourth pregnancy,airwave
345,F_803,4 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
346,F_804,4 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
347,F_805,4 Reason for end of pregnancy,airwave
348,F_806,4 Number of babies,airwave
349,F_807,4 Sex of baby,airwave
350,F_808,4 Weight of baby - Metric/Imperial,airwave
351,F_809,4 Weight of baby - Pounds/Kilos,airwave
352,F_810,4 Weight of baby - Ounces/Grammes,airwave
353,F_811,4 Delivery,airwave
354,F_812,5 Fifth pregnancy,airwave
355,F_813,5 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
356,F_814,5 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
357,F_815,5 Reason for end of pregnancy,airwave
358,F_816,5 Number of babies,airwave
359,F_817,5 Sex of baby,airwave
360,F_818,5 Weight of baby - Metric/Imperial,airwave
361,F_819,5 Weight of baby - Pounds/Kilos,airwave
362,F_820,5 Weight of baby - Ounces/Grammes,airwave
363,F_821,Delivery,airwave
364,F_822,6 Sixth pregnancy,airwave
365,F_823,6 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
366,F_824,6 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
367,F_825,6 Reason for end of pregnancy,airwave
368,F_826,6 Number of babies,airwave
369,F_827,6 Sex of baby,airwave
370,F_828,6 Weight of baby - Metric/Imperial,airwave
371,F_829,6 Weight of baby - Pounds/Kilos,airwave
372,F_830,6 Weight of baby - Ounces/Grammes,airwave
373,F_831,6 Delivery,airwave
374,F_832,7 Seventh pregnancy,airwave
375,F_833,7 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
376,F_834,7 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
377,F_835,7 Reason for end of pregnancy,airwave
378,F_836,7 Number of babies,airwave
379,F_837,7 Sex of baby,airwave
380,F_838,7 Weight of baby - Metric/Imperial,airwave
381,F_839,7 Weight of baby - Pounds/Kilos,airwave
382,F_840,7 Weight of baby - Ounces/Grammes,airwave
383,F_841,7 Delivery,airwave
384,F_842,8 Eighth pregnancy,airwave
385,F_843,8 Year when the pregnancy ended or - if currently pregnant - when delivery due,airwave
386,F_844,8 Month when the pregnancy ended or - if currently pregnant - when delivery due,airwave
387,F_845,8 Reason for end of pregnancy,airwave
388,F_846,8 Number of babies,airwave
389,F_847,8 Sex of baby,airwave
390,F_848,8 Weight of baby - Metric/Imperial,airwave
391,F_849,8 Weight of baby - Pounds/Kilos,airwave
392,F_850,8 Weight of baby - Ounces/Grammes,airwave
393,F_851,8 Delivery,airwave
394,F_852,Before the first pregnancy - the last form of birth control used.,airwave
395,F_853,Before the first pregnancy - the last form of birth control used (other),airwave
396,F_854,Did birth control stop before the first pregnancy started - or did the pregnancy result from a birth control failure,airwave
397,F_855,A regular smoker before commencing first pregnancy,airwave
398,F_856,Spouse/partner was a regular smoker before commencing first pregnancy,airwave
399,F_857,Year of diagnosis for condition which makes it difficult or impossible to have children,airwave
400,F_858,Age when periods started,airwave
401,F_859,Menopause or periods stopped,airwave
402,F_860,Menopause. Don't know - specified:,airwave
403,F_861,Age when had HRT,airwave
404,F_862,Ethnic origin - other,airwave
405,F_863,Marital Status,airwave
406,F_864,Marital Status - other,airwave
407,F_867,Number of people (including self) contribute to total household income,airwave
408,F_868,Number of people (excluding self) living in household,airwave
409,F_869,Number of children under 18 in household ,airwave
410,F_870,Satisfaction with standard of living,airwave
411,F_878,Have you ever used Airwave in the past,airwave
412,F_879,What year did you stop using airwave radios,airwave
413,F_880,(PAST USE) The usual location of Airwave radio when used in Press-to-talk (PTT) /transmit mode is Personal radio with earpiece/microphone,airwave
414,F_881,(PAST USE) The usual location of Airwave radio when used in Press-to-talk (PTT) /transmit mode is Personal radio without earpiece/microphone,airwave
415,F_882,(PAST USE) The usual location of Airwave radio when used in Press-to-talk (PTT) /transmit mode is Desk mounted radio including operations room or control room,airwave
416,F_883,(PAST USE) The usual location of Airwave radio when used in Press-to-talk (PTT) /transmit mode is Motorcycle mounted radio,airwave
417,F_884,(PAST USE) The usual location of Airwave radio when used in Press-to-talk (PTT) /transmit mode is Car mounted radio,airwave
418,F_885,(PAST USE) The usual location of Airwave radio when used in Press-to-talk (PTT) /transmit mode is Body mounted radio (covert use),airwave
419,F_886,(PAST USE) The usual location of Airwave radio when used in Press-to-talk (PTT) /transmit mode is Other,airwave
420,F_887,(PAST USE) The usual location of Airwave radio when used in PSTN/mobile phone mode is Personal radio with earpiece/microphone,airwave
421,F_888,(PAST USE) The usual location of Airwave radio when used in PSTN/mobile phone mode is Personal radio without earpiece/microphone,airwave
422,F_889,(PAST USE) The usual location of Airwave radio when used in PSTN/mobile phone mode is Desk mounted radio including operations room or control room,airwave
423,F_890,(PAST USE) The usual location of Airwave radio when used in PSTN/mobile phone mode is Motorcycle mounted radio,airwave
424,F_891,(PAST USE) The usual location of Airwave radio when used in PSTN/mobile phone mode is Car mounted radio,airwave
425,F_892,(PAST USE) The usual location of Airwave radio when used in PSTN/mobile phone mode is Body mounted radio (covert use),airwave
426,F_893,(PAST USE) The usual location of Airwave radio when used in PSTN/mobile phone mode is Other,airwave
427,F_894,(PAST USE) The OTHER location of Airwave radio when used in Press-to-talk (PTT) /transmit mode. Specify,airwave
428,F_895,(PAST USE) What was the usual position of your handset,airwave
429,F_896,(PAST USE) What proportion of your radio use was with a Pool radio,airwave
430,source,source,airwave
431,barcode,barcode,airwave
432,part_id,part_id,airwave
433,sex,sex,airwave
434,age_at_screen,age_at_screen,airwave
435,is_smoker,is_smoker,airwave
436,height,height,airwave
437,body_mass_index,body_mass_index,airwave
438,takes_intense_exercise,takes_intense_exercise,airwave
439,body_type,body_type,airwave
440,fat_percentage,fat_percentage,airwave
441,AMPLEid,subject ID no,ample
442,diagnosis,diagnosis,ample
443,DateofBirth,Date of Birth,ample
444,age,age,ample
445,gender,subject gender,ample
446,dateconsent,date consent,ample
447,participation,Number of assessments completed,ample
448,VAR00026,,ample
449,Date_of_Diagnosis,Date of original diagnosis,ample
450,VAR00019,,ample
451,anyalcohol,do you drink alcohol?,ample
452,unitsalcohol,number of units of alcohol per week,ample
453,smoking,smoking history,ample
454,packyears,smoking history in pack years,ample
455,anymeds,Any medication taken at time of consent,ample
456,meds,list of medications and daily dose taken at time of consent,ample
457,Antiplatelet_or_warfarin,,ample
458,Antihypertensive,,ample
459,Lipid_meds,,ample
